,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
1240,2,4,11,41.25,184,10,10,0,0,5,1,5,1,196,51,2,0,2,0.9090909090000001,0.090909091,0.0,0.363636364,0.093015611,0.43295386399999997,0
1241,0,6,5,46.66666667,182,0,0,0,0,6,2,6,2,145,34,1,0,0,6.0,0.4,0.4,1.4,0.088202953,0.058541514,0
1242,2,1,3,19.0,51,12,12,58,35,18,4,18,4,492,130,0,0,33,0.090909091,0.0,0.045454545,0.13636363599999998,0.82493341,0.09839268,0
1243,1,8,6,17.125,100,156,143,504,21,19,5,19,5,622,158,1,1,0,0.666666667,0.0,0.0,0.533333333,0.061043173,0.013540448,0
1244,1,0,2,0.0,5504,0,0,0,2,15,1,14,1,569,40,0,0,0,0.4,0.0,0.0,0.066666667,0.038970321,0.130892351,0
1245,2,1,5,13.0,76,90,86,337,81,1,0,1,0,39,0,2,0,0,0.636363636,0.0,0.0,0.090909091,0.285673141,0.49284738299999997,1
1246,1,1,3,15.0,56,0,0,0,10,1,0,1,0,24,0,0,0,0,0.933333333,0.133333333,0.0,0.066666667,0.727278352,0.007459384,1
1247,1,2,4,45.0,103,2,2,0,0,2,0,1,0,43,0,1,0,0,1.0,0.066666667,0.0,0.133333333,0.5409021970000001,0.004753037,1
1248,1,0,3,0.0,170,0,0,0,68,3,0,3,0,95,0,1,0,0,0.4,0.0,0.0,0.0,0.9120692009999999,0.5200313329999999,1
1249,0,0,0,0.0,75,22,22,0,0,204,79,204,79,4990,1997,0,0,0,0.0,0.0,0.0,0.0,0.919604421,0.235612214,1
1250,2,0,1,0.0,49,0,0,0,0,1,0,1,0,19,0,0,0,0,0.090909091,0.0,0.0,0.0,0.8585026259999999,0.45235159999999996,1
1251,1,4,4,14.75,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0.0,0.066666667,0.7333333329999999,0.470722824,0.004130784,0
1252,0,6,6,46.5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.6,1.0,1.6,0.561798692,0.11348833900000001,0
1253,0,6,10,15.66666667,598,0,0,0,18,4,1,4,1,214,24,0,0,0,2.2,0.0,1.0,4.4,0.292716861,0.108368911,0
1254,0,17,7,39.11764706,211,0,0,0,2,3,1,3,1,174,75,0,0,2,7.2,0.6,0.4,5.2,0.14306861199999998,0.360528171,0
1255,1,1,4,38.0,45,0,0,6,6,36,12,36,12,829,354,0,0,0,0.666666667,0.0,0.0,0.2,0.304841816,0.03658206,0
1256,1,3,5,48.66666667,145,82,81,0,0,25,6,25,6,718,157,0,0,0,0.7333333329999999,0.2,0.0,0.2,0.043893932999999996,0.0045444,0
1257,2,1,5,31.0,136,0,0,0,0,21,0,21,0,587,0,3,0,4,0.818181818,0.181818182,0.0,0.045454545,0.05148536,0.004683357,0
1258,2,2,5,23.0,76,83,83,280,65,8,0,8,0,313,0,0,0,0,0.181818182,0.0,0.22727272699999998,0.681818182,0.318708301,0.104976915,0
1259,2,4,6,178.5,56,0,0,0,0,13,7,13,7,338,187,2,0,0,0.318181818,0.0,0.045454545,0.9090909090000001,0.051290095,0.049688973,0
1260,2,3,5,34.0,48,66,66,194,56,11,0,11,0,270,0,2,0,0,0.772727273,0.0,0.13636363599999998,0.454545455,0.052042930999999994,0.22182123399999998,0
1261,1,3,4,34.0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.2,0.8363914490000001,0.44876849700000004,1
1262,1,1,2,14.0,36,0,0,0,1,43,11,43,11,1103,241,0,0,5,0.26666666699999997,0.0,0.066666667,0.066666667,0.96963793,0.097291797,1
1263,0,0,4,0.0,12,0,0,0,0,103,14,103,14,2785,345,0,0,0,1.4,0.0,0.2,1.0,0.174210787,0.03658206,0
1264,0,2,4,9.5,127,94,93,122,16,131,12,131,12,3652,327,0,0,0,1.0,0.0,0.2,1.6,0.872975945,0.09893021,0
1265,1,6,6,88.0,141,5,5,9,6,3,0,3,0,99,0,1,0,0,1.266666667,0.0,0.066666667,1.0,0.033585817000000004,0.123060524,0
1266,0,1,6,12.0,231,1,1,7,4,8,2,8,2,273,58,0,0,0,1.6,0.0,0.0,0.4,0.515037835,0.231632695,1
1267,0,1,6,75.0,263,0,0,0,3,0,0,0,0,0,0,1,0,0,2.2,0.0,0.0,0.4,0.746625364,0.470027208,1
1268,1,10,9,47.7,83,1,1,0,0,70,6,70,6,2495,257,3,0,0,2.2,0.4,0.0,0.8,0.047258407,0.009390695,0
1269,1,0,3,0.0,143,0,0,0,15,24,6,24,6,1036,216,1,0,3,0.7333333329999999,0.0,0.0,0.2,0.533792436,0.49500677,1
1270,0,7,7,18.14285714,56,1,1,0,0,381,67,381,67,9872,1810,0,0,0,3.8,1.2,0.4,2.6,0.10244098300000001,0.235612214,0
1271,0,0,4,0.0,146,0,0,0,77,8,0,8,0,231,0,0,0,4,1.2,0.0,0.0,0.2,0.106540024,0.09839268,0
1272,0,5,7,21.0,107,1,1,12,2,85,25,85,25,2528,735,1,0,0,3.4,0.8,0.2,2.0,0.29477942,0.038928628,0
1273,0,0,1,0.0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.9195772409999999,0.266989887,1
1274,0,1,4,37.0,60,3,3,61,10,16,1,16,1,519,31,0,0,5,2.4,0.6,0.4,3.4,0.135017097,0.09839268,0
1275,1,1,1,136.0,15,0,0,0,0,6,1,6,1,238,51,0,0,0,0.533333333,0.066666667,0.0,0.066666667,0.753436685,0.138502717,1
1276,0,15,12,5.6,189,0,0,0,0,13,3,13,3,469,71,0,0,0,5.0,0.6,0.6,4.6,0.34993875,0.35795906200000005,0
1277,1,1,6,115.0,161,4,4,18,560,41,4,41,4,1241,124,0,0,5,0.4,0.066666667,0.0,0.333333333,0.773442745,0.35773599100000003,1
